Date,PX_Last,VOLATILITY_10D,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD
2014年5月14日,4.367,27.27,1.366041756,40.00%,2.280063822,11.00%,5.942599947,40.00%,7.105334702,5.00%
2014年5月15日,4.469,32.12,1.025714346,-4.00%,2.334268548,15.00%,6.69063349,61.00%,6.951966685,2.00%
2014年5月16日,4.413,31.95,0.658468769,-52.00%,2.456582421,25.00%,9.181642942,130.00%,7.155235671,6.00%
2014年5月19日,4.47,29.09,0.761221965,-39.00%,2.513494761,29.00%,8.060649131,99.00%,7.220006986,7.00%
2014年5月20日,4.552,32.05,0.987154456,-9.00%,2.488329808,27.00%,3.890770612,-16.00%,7.134700865,5.00%
2014年5月21日,4.473,27.3,0.704127034,-46.00%,2.498616645,28.00%,2.386077033,-58.00%,7.206312245,7.00%
2014年5月22日,4.359,29.98,1.026951839,-4.00%,2.609917385,36.00%,2.391269697,-58.00%,6.656691766,-4.00%
2014年5月23日,4.405,28.89,1.043929653,-2.00%,2.674602798,41.00%,2.266717463,-61.00%,6.327466576,-10.00%
2014年5月27日,4.505,29.38,1.096991668,5.00%,2.55086935,32.00%,2.197366068,-63.00%,6.201815962,-13.00%
2014年5月28日,4.619,31.48,1.419092217,47.00%,2.354130051,17.00%,3.608061152,-24.00%,6.272305262,-12.00%
2014年5月29日,4.559,31.19,1.522814657,61.00%,2.134299471,0.00%,3.289623265,-33.00%,6.405153788,-9.00%
2014年5月30日,4.542,30.16,1.124202117,9.00%,2.0217515,-8.00%,3.048173225,-40.00%,6.401686997,-9.00%
2014年6月2日,4.612,30.45,0.683201639,-49.00%,1.973131556,-12.00%,4.660311514,5.00%,6.582222214,-5.00%
2014年6月3日,4.629,29.14,0.553872476,-66.00%,1.918182166,-16.00%,6.129314154,46.00%,6.894634865,1.00%
2014年6月4日,4.64,26.7,0.617483668,-58.00%,1.680153743,-34.00%,5.874792524,39.00%,7.085432595,4.00%
2014年6月5日,4.701,19.86,0.811769622,-32.00%,1.614519971,-39.00%,3.206515315,-35.00%,7.012627051,3.00%
2014年6月6日,4.71,20.1,0.628325775,-56.00%,1.752643141,-29.00%,1.377346861,-86.00%,7.207521866,7.00%
2014年6月9日,4.645,20.76,0.53325116,-69.00%,1.810147502,-24.00%,1.56103461,-81.00%,7.206261249,7.00%
2014年6月10日,4.53,21.27,1.019207692,-5.00%,1.779286397,-26.00%,2.765224863,-48.00%,5.98025204,-17.00%
2014年6月11日,4.508,20.34,1.345551604,37.00%,1.665333878,-35.00%,4.62044157,4.00%,4.725266417,-42.00%
2014年6月12日,4.762,36.18,1.570341109,67.00%,1.724753447,-31.00%,6.346590662,52.00%,4.998785407,-36.00%
2014年6月13日,4.739,35.99,1.652517207,78.00%,1.810054995,-24.00%,6.496641719,56.00%,5.548064555,-26.00%
2014年6月16日,4.707,36.36,1.713782343,86.00%,1.775251896,-27.00%,4.022485117,-13.00%,5.945392832,-18.00%
2014年6月17日,4.709,36.37,1.441594118,50.00%,1.775564349,-27.00%,2.143490605,-65.00%,6.007944148,-17.00%
2014年6月18日,4.659,36.18,0.550861434,-66.00%,1.781568714,-26.00%,6.783455268,64.00%,6.271970738,-12.00%
2014年6月19日,4.584,37.01,0.860954633,-26.00%,1.718539012,-31.00%,7.287730515,78.00%,6.184923476,-13.00%
2014年6月20日,4.531,36.81,1.113662067,7.00%,1.482659176,-49.00%,6.528867367,57.00%,6.186213636,-13.00%
2014年6月23日,4.446,35.74,1.473626384,54.00%,1.411128899,-54.00%,5.564971198,30.00%,6.344239084,-10.00%
2014年6月24日,4.535,37.53,1.109717802,7.00%,1.383334998,-56.00%,4.856507881,10.00%,6.344653107,-10.00%
2014年6月25日,4.553,19.13,0.728389127,-43.00%,1.402627298,-55.00%,4.053354873,-12.00%,6.339552833,-10.00%
2014年6月26日,4.4,24.73,0.943592285,-15.00%,1.588176671,-41.00%,3.881977294,-17.00%,6.111029924,-15.00%
2014年6月27日,4.409,25.35,1.011523841,-6.00%,1.724778054,-31.00%,3.883290882,-17.00%,6.100127696,-15.00%
2014年6月30日,4.461,27.13,0.999040179,-8.00%,1.793289914,-25.00%,2.014187938,-68.00%,5.978262725,-17.00%
2014年7月1日,4.455,27.07,0.863059488,-26.00%,1.852226745,-21.00%,1.658042654,-78.00%,5.757027127,-22.00%
