Date,Price,Open,High,Low,Vol.,Change %,log return,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD,Vol2_5D_SD minus Vol_20D_SD,SPX_Price,SPX and HSI 比例,input1 動能差,input 5,SHComp_input 3 Price,SHComp_Vol.,SHComp_Change %,CNH input 2 Price,Change %,input 7 deviation,US10yT_input 4 Price,US10yT_Change %,label 1 N+1到N+5天短期(5D)vol of vol 的標準化平均減 N到N-4短期(5D)vol of vol 的標準化平均,label 2 第N+1到N+5天的平均短期(5D)波動性 減 第N天的短期(5D)波動性 大於或小於零,label 3 第N+1到N+5天的平均短期(5D)波動性 減 第N到N-4天的平均短期(5D)波動性 大於或小於零 (Ken)
2017/12/12,28793.88,28972.74,29066.77,28745.73,2.2,-0.0059,-0.005935352,0.2215280976,0.759612118,0.1574344468,1.847952908,0.578928899,0.131032316,0.2746513009,2.607380842,-2.476348526,2659.99,10.82480761,264.1557334,10.82160992,3280.81,12.46,-0.0125,6.6277,0.0009,-0.012536871,2.39,0.0021,-1.078246698,-0.0658798516,-0.0381774869
2017/12/13,29222.1,28856.78,29276.67,28707.6,2.65,0.0149,0.0147624078,0.1345090412,-1.368165133,0.1620068674,1.82367609,0.6543519197,0.300239955,0.3037404088,2.534930192,-2.234690237,2664.11,10.96880384,-383.6217926,10.86864708,3303.04,11.2,0.0068,6.6131,-0.0022,0.0067529134,2.403,0.0054,-1.401102179,0.0178840163,-0.038512156
2017/12/14,29166.38,29335.76,29367.51,29047.61,2.02,-0.0019,-0.0019085962,0.147167977,-0.9267950221,0.161068959,1.566545451,0.7007057799,0.4805837075,0.3167861272,2.250007735,-1.769424028,2662.85,10.95306908,41.89930716,10.90632947,3292.44,12.05,-0.0032,6.6071,-0.0009,-0.0032143253,2.348,-0.0229,-1.491713361,-0.0001612806,-0.0410703049
2017/12/15,28848.11,29000.11,29017.66,28738.84,2.06,-0.0109,-0.0109721965,0.1764785115,-0.1279415647,0.1641686097,1.544273003,0.6820656692,0.1118086576,0.3212825163,1.960191866,-1.848383208,2652.01,10.87782851,199.5387312,10.90972474,3266.14,13.09,-0.008,6.6067,-0.0001,-0.0080200717,2.349,0.0004,-0.9564021919,-0.0541363524,-0.0596335023
2017/12/18,29050.41,28923.53,29143.33,28821.19,1.69,0.007,0.0069881173,0.1634959848,-0.153055968,0.1661424924,1.507479977,0.5330989739,-1.357804804,0.3140284364,1.624571851,-2.982376655,2675.81,10.85667891,56.59231866,10.89623759,3267.92,12.07,0.0005,6.609,0.0003,0.0005448374,2.351,0.0009,0.0448499126,-0.0624427013,-0.0675826388
2017/12/19,29253.66,29193.74,29339.11,29144.17,1.68,0.007,0.0069720973,0.1565897155,0.0590976502,0.1526801752,0.7448197648,0.2528927027,-1.675073137,0.3050830563,1.3419053,-3.016978437,2690.16,10.87431974,-47.45665761,10.90614002,3296.54,11.51,0.0088,6.6059,-0.0005,0.0087197367,2.394,0.0106,0.7315420789,-0.0738027382,-0.0728612688
2017/12/20,29234.09,29199.29,29326.52,29159.28,1.35,-0.0007,-0.0006692,0.118233099,-1.56113419,0.1503400063,0.5483372026,0.3473580521,-0.7821816344,0.2913228422,1.052670359,-1.834851993,2681.47,10.90226256,-74.92783857,10.89283176,3287.61,13.77,-0.0027,6.5648,-0.0062,-0.0027125766,2.459,0.0272,0.9405074472,-0.0480398585,-0.0821998171
2017/12/21,29367.06,29209.64,29431.81,29145.13,1.49,0.0045,0.004538144,0.1202361712,-1.016030606,0.1481037963,0.3596218906,0.4182638894,-0.1708399832,0.2812965328,0.8393078287,-1.010147812,2679.25,10.96092563,-157.1730229,10.89440307,3300.06,14.21,0.0038,6.5664,0.0002,0.0037797931,2.497,0.0155,0.9222654002,-0.0500029369,-0.0767734621
2017/12/22,29578.01,29505.05,29578.01,29413.86,1.32,0.0072,0.0071575418,0.0531558248,-1.579510132,0.1492151804,0.3504335172,0.6953415398,1.435084472,0.2673087007,0.5918884025,0.8431960699,2684.57,11.01778311,-152.6378756,10.92239399,3297.06,12.4,-0.0009,6.5652,-0.0002,-0.0009094878,2.484,-0.0052,0.4249614327,0.032127005,-0.0370593293
2017/12/27,29597.66,29632.97,29693.82,29516.51,1.78,0.0007,0.0006641243,0.0570516075,-0.9852792017,0.1477908135,0.1926855378,0.708941132,1.083119677,0.2523516427,0.3355229011,0.747596776,2680.5,11.04184294,-64.49237725,10.9594268,3275.78,16.27,-0.0092,6.5538,0.0019,-0.0064751536,2.485,0.0004,-0.1520191286,0.0405123087,-0.0034893674
