Date,PX_Last,VOLATILITY_10D,log return,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD,PX_LAST,v1,v2,v3,v4
2013年3月28日 星期四,22299.63,14.7,-0.007380444,0.092304146,-0.17,0.140739267,-2.54,0.451356919,0.16,0.587964402,0.37,22316,-0.19,0.7868,0.0517559996,0.0468845566
2013年4月2日 星期二,22367.82,9.22,0.003053232,0.080915646,-0.28,0.140598388,-2.19,0.110067982,-1.88,0.600777613,0.6,22389,-1.34,1.1087,0.0878638486,0.0858927124
2013年4月3日 星期三,22337.49,9.16,-0.001356886,0.07679934,-0.58,0.130629873,-2.66,0.109891556,-1.2,0.574050536,0.36,22346,-3.92,1.7503,0.1182496866,0.1142039626
2013年4月5日 星期五,21726.9,16.99,-0.027715309,0.193139651,1.98,0.162331508,0.65,0.724306743,1.35,0.590318928,0.69,21656,-1.41,-1.5986,-0.0257437572,0.0644741654
2013年4月8日 星期一,21718.05,17.02,-0.000407412,0.174671307,1.02,0.156745684,0.09,0.791682004,1.22,0.570712205,0.47,21639,-1.13,-0.9544,-0.0167670358,0.0343382532
2013年4月9日 星期二,21870.34,17.67,0.006987669,0.194774784,0.94,0.160125112,0.46,0.852774646,1,0.619725605,1.19,21828,-1.03,-1.1463,-0.0521346606,-0.0014200222
2013年4月10日 星期三,22034.56,17.87,0.007480749,0.204512391,0.76,0.153020875,-0.31,0.745969273,0.37,0.66663907,1.71,21966,-1.31,-1.2237,-0.0842346076,-0.0485017112
2013年4月11日 星期四,22101.27,17.89,0.003022943,0.208147,1.12,0.154017107,-0.22,0.18513849,-1.97,0.702741862,1.96,22135,-3.44,-1.9467,-0.1143687898,-0.1012708164
2013年4月12日 星期五,22089.05,17.26,-0.000553062,0.054873987,-1.96,0.152148237,-0.42,0.911976367,0.82,0.757055093,2.23,22120,-2.05,1.8875,0.0677564674,-0.0447654394
2013年4月15日 星期一,21772.67,18.37,-1.44E-02,0.127213194,-0.52,0.151847083,-0.41,0.94218287,0.77,0.753379151,1.9,21770,-1.38,0.7068,0.0033402832,-0.027350794
2013年4月16日 星期二,21672.03,18.05,-0.004633025,0.118454045,-0.42,0.151185341,-0.45,0.915924152,0.61,0.748908649,1.64,21667,-0.75,0.8542,0.0252002786,0.0010142002
2013年4月17日 星期三,21569.67,18.02,-0.004734328,0.092700691,-0.54,0.151356017,-0.4,0.803525433,0.18,0.752390305,1.49,21511,-1.16,1.2389,0.0723813468,0.0448042544
2013年4月18日 星期四,21512.52,10.85,-0.00265307,0.075649134,-0.68,0.135728432,-1.83,0.424188596,-1.94,0.774915878,1.5,21525,-3.51,1.5322,0.1121535636,0.0940244874
2013年4月19日 星期五,22013.57,16.94,0.02302399,0.199135208,1.8,0.160810095,0.81,0.673290879,-0.41,0.814411908,1.63,22004,-2.23,-1.6345,-0.0215186376,0.054986116
2013年4月22日 星期一,22044.37,16.62,0.001398159,0.166828308,0.79,0.15678414,0.49,0.731366464,0.13,0.819169582,1.52,22021,-1.26,-1.0139,0.0070481568,0.0433229876
2013年4月23日 星期二,21806.61,17.16,-0.010844106,0.183958277,0.81,0.161047119,0.96,0.792471882,0.78,0.83709057,1.53,21793,0.26,-1.5407,-0.0305744436,0.0097295098
2013年4月24日 星期三,22183.05,19.75,0.017115349,0.199839262,0.75,0.172411664,1.98,0.735224169,0.49,0.867297709,1.66,22136,0.53,-1.8847,-0.071979858,-0.0372226338
2013年4月25日 星期四,22401.24,20.36,0.009787831,0.189252433,0.12,0.174571568,1.94,0.191826991,-1.97,0.869252582,1.54,22420,-0.39,-1.5001,-0.0874118854,-0.08596215
2013年4月26日 星期五,22547.71,17.99,0.006517194,0.148204572,-1.62,0.17578047,1.79,0.288454336,-1.02,0.844690828,1.21,22557,-1.51,0.4734,-0.0614557376,-0.090867736
2013年4月29日 星期一,22580.77,17.34,0.00146515,0.14812778,-1.19,0.174235552,1.49,0.342990116,-0.52,0.803939341,0.74,22559,-3.14,0.3112,-0.0764884144,-0.1022370992
2013年4月30日 星期二,22737.01,16.41,0.006895334,0.08149512,-1.73,0.173301905,1.28,0.660925038,1.01,0.81392411,0.76,22604,-2.33,1.3862,-0.0108771714,-0.0827658848
2013年5月2日 星期四,22668.3,16.48,-0.003026521,0.072217115,-1.25,0.173676457,1.19,0.704211063,1.29,0.823183157,0.77,22594,-1.46,1.1258,-0.0022856654,-0.0579279544
2013年5月3日 星期五,22689.96,12.86,0.000955063,0.059158151,-1.11,0.173512903,1.14,0.610927369,0.52,0.843739886,0.91,22547,-0.25,0.8559,0.011380731,-0.0313016656
2013年5月6日 星期一,22915.09,13.24,0.00987311,0.072746006,-0.44,0.139621517,-1.74,0.500158978,-0.49,0.859177374,1.01,22761,3.07,0.6726,0.0091383816,-0.0048644468
2013年5月7日 星期二,23047.09,9.56,0.005743869,0.072580436,0.13,0.139535137,-1.57,0.113446805,-1.9,0.877575092,1.24,22911,2.59,0.2911,0.0195151632,0.0204562336
2013年5月8日 星期三,23244.35,7.18,0.008522578,0.076388035,0.97,0.140225994,-1.36,0.094064512,-1.22,0.86895285,1.11,23044,2.18,-0.6593,0.022674596,0.0284446824
2013年5月9日 星期四,23211.48,7.37,-0.001415108,0.06878462,-0.19,0.140050297,-1.27,0.093647633,-0.84,0.844058932,0.62,23119,1.7,0.5929,0.0391936502,0.0380468206
2013年5月10日 星期五,23321.22,7.23,0.004716692,0.062195313,-1.73,0.14024677,-1.17,0.076443466,-0.61,0.803811589,-0.36,23198,-0.18,2.8531,0.0662974878,0.0579539188
2013年5月13日 星期一,22989.81,12.15,-0.014312601,0.129473534,1.96,0.152436979,-0.31,0.38498636,1.99,0.776230843,-1.08,22880,1.24,-1.243,-0.0014358392,0.0461533072
2013年5月14日 星期二,22930.28,11.97,-0.002592766,0.123636494,1.1,0.140874492,-1.06,0.453249558,1.42,0.775749149,-1.17,22855,1.51,-0.5813,0.0061020722,0.037642967
2013年5月15日 星期三,23044.24,11.88,0.004957539,0.111223194,0.43,0.138444816,-1.14,0.446326921,0.91,0.77598657,-1.26,22928,3,0.3643,0.0405472434,0.0527078064
2013年5月16日 星期四,23082.68,11.87,0.001666706,0.113362816,0.23,0.135492227,-1.24,0.378521532,0.22,0.771219757,-1.48,22973,1.76,0.7505,0.059404858,0.0647894038
2013年5月20日 星期一,23493.03,14.08,0.017621229,0.164767966,1.88,0.142434235,-0.83,0.306800391,-1.64,0.771609559,-1.46,23371,1.86,-1.3494,0.0062320352,0.0425072004
2013年5月21日 星期二,23366.37,14.58,-0.005405972,0.127198004,-0.04,0.128175957,-1.55,0.306774028,-1.12,0.71958281,-2.36,23289,0.13,0.627,0.0568210984,0.0559814076
2013年5月22日 星期三,23261.08,14.23,-0.004516231,0.132140851,0.12,0.130836914,-1.26,0.305374409,-0.77,0.700014181,-2.28,23227,-2.83,0.5086,0.0670878,0.0694900848
2013年5月23日 星期四,22669.68,19.93,-0.025753229,0.22138255,1.8,0.158965651,0.39,0.613957854,1.94,0.755040264,-1.06,22521,-1.24,-1.8137,-0.0386372506,0.030974862
2013年5月24日 星期五,22618.67,19.44,-0.002252677,0.218348999,1.12,0.148998199,-0.13,0.644129252,1.32,0.782323345,-0.44,22583,-0.8,-1.5545,-0.0512990686,-0.0057177436
2013年5月27日 星期一,22686.05,18.49,0.002974527,0.155929602,-0.37,0.145575179,-0.26,0.652057631,0.91,0.752901418,-0.95,22645,0.96,-0.1726,0.0068480874,-0.0082223118
2013年5月28日 星期二,22924.25,19.53,0.010445104,0.19229351,0.24,0.148323159,0.01,0.555535558,0.01,0.789760887,-0.12,22866,2.49,-1.1033,-0.0502947788,-0.0420203712
2013年5月29日 星期三,22554.93,21.04,-0.016241635,0.208188594,0.37,0.160159345,0.94,0.379634291,-1.88,0.842147774,0.94,22527,0.91,-1.6528,-0.097658779,-0.088698836
2013年5月30日 星期四,22484.31,20.89,-0.003135935,0.138965792,-1.44,0.158331541,0.94,0.483684553,-0.58,0.829689214,0.66,22464,0.33,0.2654,-0.0437808082,-0.0875603156
