Date,PX_Last,VOLATILITY_10D,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD
2016年9月27日,216.15,13.92,29.86180169,-48.00%,69.75064006,-48.00%,157.1683737,-28.00%,218.8759163,-62.00%
2016年9月28日,217.95,14.52,17.83040101,-101.00%,69.3898819,-49.00%,84.75742074,-82.00%,213.4059065,-67.00%
2016年9月29日,219,14.58,18.27017241,-99.00%,68.93059438,-50.00%,101.5395184,-70.00%,207.9691216,-71.00%
2016年9月30日,221.05,14.93,25.34259655,-68.00%,69.25769043,-49.00%,90.12886938,-78.00%,202.6161677,-75.00%
2016年10月3日,219.2,16.17,25.52095609,-67.00%,66.16265543,-57.00%,73.55792722,-90.00%,193.015724,-83.00%
2016年10月4日,216.7,17.41,22.88683464,-79.00%,61.96115867,-68.00%,52.95964528,-105.00%,187.4586309,-87.00%
2016年10月5日,216.45,13.34,27.20336744,-60.00%,57.99863701,-78.00%,49.35263705,-108.00%,186.1426391,-88.00%
2016年10月6日,215.55,13.25,32.23502443,-38.00%,53.56526098,-89.00%,49.51392157,-108.00%,187.482198,-87.00%
2016年10月7日,216.35,13.59,19.62926387,-93.00%,46.73182534,-107.00%,67.18368897,-95.00%,184.449767,-90.00%
2016年10月10日,219.75,14.27,22.97365448,-78.00%,41.18493337,-121.00%,69.05528595,-94.00%,174.1189378,-98.00%
2016年10月11日,218.55,14.16,24.84550664,-70.00%,31.62721679,-146.00%,67.14865863,-95.00%,157.4806243,-111.00%
2016年10月12日,217.65,14.05,23.85194332,-75.00%,30.36347052,-149.00%,65.91624365,-96.00%,154.4615928,-113.00%
2016年10月13日,212.2,17.87,41.27372045,2.00%,34.71372131,-138.00%,120.4065251,-56.00%,150.0819972,-117.00%
2016年10月14日,211.05,17.73,55.94587384,66.00%,40.47096328,-123.00%,206.0814863,8.00%,174.5122477,-97.00%
2016年10月17日,210.7,17.2,53.52934896,55.00%,45.73421298,-110.00%,216.4171893,15.00%,197.0328835,-80.00%
2016年10月18日,210.55,17.22,42.43752113,7.00%,50.67639672,-97.00%,180.6594762,-11.00%,185.4843895,-89.00%
2016年10月19日,210.35,17.24,10.41687093,-133.00%,54.83790276,-86.00%,257.6802584,46.00%,178.384661,-94.00%
2016年10月20日,209.6,16.8,7.662636622,-145.00%,58.90562412,-76.00%,331.7756411,100.00%,192.7027319,-83.00%
2016年10月21日,208.85,12.25,10.99130565,-131.00%,62.41320141,-67.00%,303.4885367,79.00%,201.1378899,-76.00%
2016年10月24日,209.3,12.95,10.12241078,-135.00%,64.32164999,-62.00%,208.0380378,9.00%,208.8546278,-70.00%
2016年10月25日,213.85,19.21,28.53616653,-54.00%,64.22197792,-62.00%,120.3446708,-56.00%,208.6073156,-71.00%
2016年10月26日,214.55,13.05,38.84099896,-9.00%,63.08671664,-65.00%,195.1756604,0.00%,210.7978184,-69.00%
2016年10月27日,216.35,12.86,47.29324688,28.00%,61.29016578,-69.00%,234.9634461,29.00%,219.184096,-62.00%
